threshold,normal_time,aqi_time,average_normal_exp_history,average_route_exp_history,total_normal_exp_history,total_route_exp
132,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
131,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
130,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
129,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
128,1444.313,1603.843,113.69984954938211,113.57281057062954,2.072016400730689,2.303303781894727
127,1444.313,1603.843,113.69984954938211,113.57281057062954,2.072016400730689,2.303303781894727
126,1444.313,1603.843,113.69984954938211,113.57281057062954,2.072016400730689,2.303303781894727
125,1444.313,1603.843,113.69984954938211,113.57281057062954,2.072016400730689,2.303303781894727
124,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
123,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
122,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
121,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
120,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
119,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
118,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
117,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
116,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
115,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
114,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
113,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
112,1444.313,2076.314,113.69984954938211,102.61402068097976,2.072016400730689,2.7117955355415053
111,1444.313,3340.666,113.69984954938211,94.5603422592036,2.072016400730689,3.9925786427722616
110,1444.313,3340.666,113.69984954938211,94.5603422592036,2.072016400730689,3.9925786427722616
109,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
108,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
107,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
106,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
105,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
104,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
103,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
102,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
101,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
100,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
99,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
98,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
97,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
96,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
95,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
94,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
93,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
92,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
91,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
90,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
89,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
88,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
87,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
86,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
85,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
84,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
83,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
82,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
81,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
80,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
79,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
78,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
77,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
76,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
75,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
74,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
73,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
72,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
71,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
70,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
69,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
68,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
67,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
66,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
65,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
64,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
63,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
62,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
61,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
60,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
59,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
58,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
57,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
56,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
55,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
54,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
53,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
52,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
51,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
50,1444.313,1444.313,113.69984954938211,113.69984954938211,2.072016400730689,2.072016400730689
