threshold,normal_time,aqi_time,average_normal_exp_history,average_route_exp_history,total_normal_exp_history,total_route_exp
132,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
131,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
130,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
129,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
128,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
127,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
126,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
125,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
124,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
123,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
122,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
121,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
120,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
119,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
118,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
117,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
116,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
115,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
114,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
113,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
112,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
111,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
110,2017.407,2017.407,61.98118813159688,61.98118813159688,5.201656464358619,5.201656464358619
