threshold,normal_time,aqi_time,average_normal_exp_history,average_route_exp_history,total_normal_exp_history,total_route_exp
132,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
131,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
130,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
129,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
128,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
127,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
126,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
125,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
124,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
123,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
122,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
121,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
120,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
119,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
118,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
117,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
116,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
115,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
114,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
113,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
112,1652.706,1652.706,62.41183041848169,62.41183041848169,4.3539404494197065,4.3539404494197065
111,1652.706,2015.456,62.41183041848169,44.86757421203148,4.3539404494197065,3.8958833639627315
110,1652.706,2015.456,62.41183041848169,44.86757421203148,4.3539404494197065,3.8958833639627315
109,1652.706,2015.456,62.41183041848169,44.86757421203148,4.3539404494197065,3.8958833639627315
108,1652.706,2015.456,62.41183041848169,44.86757421203148,4.3539404494197065,3.8958833639627315
107,1652.706,2015.456,62.41183041848169,44.86757421203148,4.3539404494197065,3.8958833639627315
106,1652.706,2015.456,62.41183041848169,44.86757421203148,4.3539404494197065,3.8958833639627315
105,1652.706,2015.456,62.41183041848169,44.86757421203148,4.3539404494197065,3.8958833639627315
104,1652.706,2015.456,62.41183041848169,44.86757421203148,4.3539404494197065,3.8958833639627315
103,1652.706,2015.456,62.41183041848169,44.86757421203148,4.3539404494197065,3.8958833639627315
