ped_ave_time_exposure,ped_ave_threshold_exposure,ped_ave_time_sum,bike_ave_time_exposure,bike_ave_threshold_exposure,bike_ave_time_sum,final_threshold_exposure,final_time_exposure,final_time_sum
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.001247750355306,1.0,1.0,0.998067374457264,1.0,1.0,1.0,0.9996575624062851,1.0
1.0024955007106122,1.0,1.0,0.9961347489145281,1.0,1.0,1.0,0.9993151248125702,1.0
1.0037432510659186,1.0,1.0,0.9942021233717921,1.0,1.0,1.0,0.9989726872188553,1.0
1.0049910014212244,1.0,1.0,0.9922694978290563,1.0,1.0,1.0,0.9986302496251404,1.0
1.0062387517765305,1.0,1.0,0.9903368722863205,1.0,1.0,1.0,0.9982878120314256,1.0
1.0074865021318367,1.0,1.0,0.9884042467435846,1.0,1.0,1.0,0.9979453744377107,1.0
1.008734252487143,1.0,1.0,0.9864716212008486,1.0,1.0,1.0,0.9976029368439958,1.0
1.009982002842449,1.0,1.0,0.9845389956581126,1.0,1.0,1.0,0.9972604992502809,1.0
1.0112297531977552,1.0,1.0,0.9826063701153768,1.0,1.0,1.0,0.996918061656566,1.0
1.0124775035530613,1.0,1.0,0.9806737445726408,1.0,1.0,1.0,0.996575624062851,1.0
1.0137252539083674,1.0,1.0,0.9787411190299049,1.0,1.0,1.0,0.9962331864691362,1.0
1.0149730042636735,1.0,1.0,0.9768084934871689,1.0,1.0,1.0,0.9958907488754212,1.0
1.0162207546189796,1.0,1.0,0.974875867944433,1.0,1.0,1.0,0.9955483112817063,1.0
1.0168234877896145,1.0,1.0,0.9729432424016973,1.0,1.0,1.0,0.9948833650956559,1.0
1.015884014881173,1.0,1.0,0.9710106168589612,1.0,1.0,1.0,0.9934473158700671,1.0
1.0149445419727312,1.0,1.0,0.9690779913162254,1.0,1.0,1.0,0.9920112666444783,1.0
1.0140050690642897,1.0,1.0,0.9671453657734894,1.0,1.0,1.0,0.9905752174188895,1.0
1.0130655961558481,1.0,1.0,0.9652127402307535,1.0,1.0,1.0,0.9891391681933008,1.0
1.0121261232474066,1.0,1.0,0.9632801146880176,1.0,1.0,1.0,0.9877031189677121,1.0
1.0111866503389648,1.0,1.0,0.9613474891452817,1.0,1.0,1.0,0.9862670697421232,1.0
1.0102471774305233,1.0,1.0,0.9594148636025457,1.0,1.0,1.0,0.9848310205165345,1.0
1.0093077045220817,1.0,1.0,0.9574822380598098,1.0,1.0,1.0,0.9833949712909458,1.0
1.00836823161364,1.0,1.0,0.955549612517074,1.0,1.0,1.0,0.9819589220653571,1.0
1.0074287587051984,1.0,1.0,0.9536169869743378,1.0,1.0,1.0,0.9805228728397681,1.0
1.006489285796757,1.0,1.0,0.9516843614316022,1.0,1.0,1.0,0.9790868236141795,1.0
