ave_threshold_exposure,ave_time_exposure,ave_time_sum
1.0,1.0,1.0
1.0,0.9996896126561374,1.0
1.0,0.9993792253122749,1.0
1.0,0.9990688379684122,1.0
1.0,0.9987584506245496,1.0
1.0,0.998448063280687,1.0
1.0,0.9981376759368245,1.0
1.0,0.9978272885929619,1.0
1.0,0.9975169012490993,1.0
1.0,0.9972065139052366,1.0
1.0,0.996896126561374,1.0
1.0,0.9965857392175115,1.0
1.0,0.9962753518736489,1.0
1.0,0.9959649645297863,1.0
1.0,0.9956545771859238,1.0
1.0,0.9953441898420611,1.0
1.0,0.9950338024981985,1.0
1.0,0.9947234151543359,1.0
1.0,0.9944130278104734,1.0
1.0,0.9941026404666108,1.0
1.0,0.9937922531227482,1.0
1.0,0.9934818657788855,1.0
1.0,0.993171478435023,1.0
1.0,0.9928610910911604,1.0
1.0,0.9925507037472978,1.0
1.0,0.9922403164034352,1.0
1.0,0.9919299290595727,1.0
1.0,0.99161954171571,1.0
1.0,0.9913091543718474,1.0
1.0,0.9909987670279848,1.0
1.0,0.9906883796841223,1.0
1.0,0.9903779923402597,1.0
1.0,0.990067604996397,1.0
1.0,0.9897572176525344,1.0
1.0,0.9894468303086719,1.0
1.0,0.9891364429648093,1.0
1.0,0.9888260556209467,1.0
1.0,0.9885156682770841,1.0
1.0,0.9882052809332215,1.0
1.0,0.9878948935893589,1.0
1.0,0.9875845062454963,1.0
1.0,0.9872741189016337,1.0
1.0,0.9869637315577712,1.0
1.0,0.9866533442139086,1.0
1.0,0.9863429568700459,1.0
1.0,0.9860325695261833,1.0
1.0,0.9857221821823208,1.0
1.0,0.9854117948384582,1.0
1.0,0.9851014074945956,1.0
1.0,0.984791020150733,1.0
1.0,0.9844806328068704,1.0
1.0,0.9841702454630078,1.0
1.0,0.9838598581191452,1.0
1.0,0.9835494707752827,1.0
1.0,0.9832390834314201,1.0
1.0,0.9829286960875574,1.0
1.0,0.9826183087436948,1.0
1.0,0.9823079213998323,1.0
1.0,0.9819975340559697,1.0
1.0,0.9816871467121071,1.0
1.0,0.9813767593682445,1.0
1.0,0.981066372024382,1.0
1.0,0.9807559846805193,1.0
1.0,0.9804455973366567,1.0
1.0,0.9801352099927941,1.0
1.0,0.9798248226489316,1.0
1.0,0.979514435305069,1.0
1.0,0.9792040479612064,1.0
1.0,0.9788936606173437,1.0
1.0,0.9785832732734812,1.0
1.0,0.9782728859296186,1.0
1.0,0.977962498585756,1.0
1.0,0.9776521112418934,1.0
1.0,0.9773417238980309,1.0
1.0,0.9770313365541682,1.0
1.0,0.9767209492103056,1.0
1.0,0.976410561866443,1.0
1.0,0.9761001745225805,1.0
1.0,0.9757897871787179,1.0
1.0,0.9754793998348553,1.0
1.0,0.9751690124909926,1.0
1.0,0.9748586251471301,1.0
1.0,0.9745482378032675,1.0
1.0,0.9742378504594049,1.0
1.0,0.9739274631155423,1.0
1.0,0.9736170757716797,1.0
1.0,0.9733066884278171,1.0
1.0,0.9729963010839545,1.0
1.0,0.972685913740092,1.0
1.0,0.9723755263962294,1.0
1.0,0.9720651390523668,1.0
1.0,0.9717547517085041,1.0
1.0,0.9714443643646415,1.0
1.0,0.971133977020779,1.0
1.0,0.9708235896769164,1.0
1.0,0.9705132023330538,1.0
1.0,0.9702028149891913,1.0
1.0,0.9698924276453286,1.0
1.0,0.969582040301466,1.0
1.0,0.9692716529576034,1.0
1.0,0.9689612656137409,1.0
1.0,0.9686508782698783,1.0
1.0,0.9683404909260157,1.0
1.0,0.968030103582153,1.0
1.0,0.9677197162382905,1.0
1.0,0.9674093288944279,1.0
1.0,0.9670989415505653,1.0
1.0,0.9667885542067027,1.0
1.0,0.96647816686284,1.0
1.0,0.9661677795189775,1.0
1.0,0.9658573921751149,1.0
1.0,0.9655470048312523,1.0
1.0,0.9652366174873898,1.0
1.0,0.9649262301435272,1.0
1.0,0.9646158427996645,1.0
1.0,0.9643054554558019,1.0
1.0,0.9639950681119394,1.0
1.0,0.9636846807680768,1.0
1.0,0.9633742934242142,1.0
1.0,0.9630639060803516,1.0
1.0,0.962753518736489,1.0
1.0,0.9624431313926264,1.0
1.0,0.9621327440487638,1.0
1.0,0.9618223567049012,1.0
1.0,0.9615119693610387,1.0
1.0,0.9612015820171761,1.0
1.0,0.9608911946733134,1.0
1.0,0.9605808073294508,1.0
1.0,0.9602704199855883,1.0
1.0,0.9599600326417257,1.0
1.0,0.9596496452978631,1.0
1.0,0.9593392579540005,1.0
1.0,0.9590288706101379,1.0
1.0,0.9587184832662753,1.0
1.0,0.9584080959224127,1.0
1.0,0.9580977085785501,1.0
1.0,0.9577873212346876,1.0
1.0,0.957476933890825,1.0
1.0,0.9571665465469623,1.0
1.0,0.9568561592030997,1.0
1.0,0.9565457718592372,1.0
1.0,0.9562353845153746,1.0
1.0,0.955924997171512,1.0
1.0,0.9556146098276493,1.0
1.0,0.9553042224837868,1.0
1.0,0.9549938351399242,1.0
