ave_threshold_exposure,ave_time_exposure,ave_time_sum
1.0,1.0,1.0
1.0,0.9819069867704403,1.0
1.0,0.963813973540881,1.0
1.0,0.9457209603113214,1.0
1.0,0.9276279470817621,1.0
1.0,0.9095349338522024,1.0
1.0,0.8914419206226432,1.0
1.0,0.8733489073930835,1.0
1.0,0.8552558941635242,1.0
1.0,0.8371628809339646,1.0
1.0,0.8190698677044048,1.0
1.0,0.8009768544748457,1.0
1.0,0.7828838412452859,1.0
1.0,0.7647908280157267,1.0
1.0,0.7466978147861669,1.0
1.0,0.7357876393005635,1.0
1.0,0.735959533409336,1.0
1.0,0.7361314275181084,1.0
1.0,0.736303321626881,1.0
1.0,0.7364752157356534,1.0
1.0,0.7366471098444258,1.0
1.0,0.7368190039531983,1.0
1.0,0.7369908980619708,1.0
1.0,0.7371627921707433,1.0
1.0,0.7373346862795158,1.0
1.0,0.7375065803882883,1.0
1.0,0.7376784744970608,1.0
1.0,0.7378503686058333,1.0
1.0,0.7380222627146058,1.0
1.0,0.7381941568233782,1.0
1.0,0.7383660509321507,1.0
1.0,0.7385379450409232,1.0
1.0,0.7387098391496957,1.0
1.0,0.7388817332584682,1.0
1.0,0.7390536273672407,1.0
1.0,0.7392255214760132,1.0
1.0,0.7393974155847857,1.0
1.0,0.7395693096935582,1.0
1.0,0.7397412038023307,1.0
1.0,0.739913097911103,1.0
1.0,0.7400849920198755,1.0
1.0,0.740256886128648,1.0
1.0,0.7404287802374205,1.0
1.0,0.740600674346193,1.0
1.0,0.7407725684549655,1.0
1.0,0.740944462563738,1.0
1.0,0.7411163566725105,1.0
1.0,0.741288250781283,1.0
1.0,0.7414601448900554,1.0
1.0,0.7416320389988279,1.0
1.0,0.7418039331076004,1.0
1.0,0.7419758272163729,1.0
1.0,0.7421477213251454,1.0
1.0,0.7404216475427942,1.0
1.0,0.7341928734977757,1.0
1.0,0.7289370794057926,1.0
1.0,0.7288587421012108,1.0
1.0,0.7287804047966291,1.0
1.0,0.7287020674920474,1.0
1.0,0.7286237301874656,1.0
1.0,0.7285453928828839,1.0
1.0,0.7284670555783022,1.0
1.0,0.7283887182737204,1.0
1.0,0.7283103809691387,1.0
1.0,0.728232043664557,1.0
1.0,0.7281537063599753,1.0
1.0,0.7280753690553936,1.0
1.0,0.7279970317508119,1.0
1.0,0.7279186944462301,1.0
1.0,0.7278403571416484,1.0
1.0,0.7277620198370667,1.0
1.0,0.7276836825324849,1.0
1.0,0.7276053452279032,1.0
1.0,0.7275270079233215,1.0
1.0,0.7274486706187397,1.0
1.0,0.727370333314158,1.0
1.0,0.7272919960095763,1.0
1.0,0.7272136587049945,1.0
1.0,0.7271353214004128,1.0
1.0,0.7270569840958311,1.0
1.0,0.7269786467912493,1.0
