threshold,normal_time,aqi_time,average_normal_exp_history,average_route_exp_history,total_normal_exp_history,total_route_exp
132,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
131,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
130,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
129,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
128,1934.121,2009.65,105.01230698319608,106.73575235094849,2.550355860411307,2.6807951717873233
127,1934.121,2009.65,105.01230698319608,106.73575235094849,2.550355860411307,2.6807951717873233
126,1934.121,2009.65,105.01230698319608,106.73575235094849,2.550355860411307,2.6807951717873233
125,1934.121,2009.65,105.01230698319608,106.73575235094849,2.550355860411307,2.6807951717873233
124,1934.121,1970.415,105.01230698319608,106.20983189726435,2.550355860411307,2.614152028071414
123,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
122,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
121,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
120,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
119,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
118,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
117,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
116,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
115,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
114,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
113,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
112,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
111,1934.121,2199.114,105.01230698319608,89.62835520427377,2.550355860411307,2.474614318416265
110,1934.121,2830.819,105.01230698319608,82.36808828234314,2.550355860411307,2.936589756755838
109,1934.121,2830.819,105.01230698319608,82.36808828234314,2.550355860411307,2.936589756755838
108,1934.121,3611.945,105.01230698319608,64.85871574999446,2.550355860411307,2.960976798917377
107,1934.121,3611.945,105.01230698319608,64.85871574999446,2.550355860411307,2.960976798917377
106,1934.121,3611.945,105.01230698319608,64.85871574999446,2.550355860411307,2.960976798917377
105,1934.121,1934.121,105.01230698319608,105.01230698319608,2.550355860411307,2.550355860411307
